C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
W,,,,,,,,,,,,,,,,,,,,,,,,,W
W,,,,,,,,,,,,,,,,,,,,,,,,,W
W,,,,,,,,,,,,,,,,,,,,,,,,,W
W,,,,,,,,,,,,M:22,,,,,,,,,,,,,W
W,P1,P2,P1,P1,P3,P2,P1,P3,NTL,W,W,W,W,W,W,P2,P2,P1,P3,NTL,P2,P3,P3,P2,W
W,,,,,,,,,NML,W,W,W,W,W,W,,,,,NML,,,TPTL,,W
W,,,,,,,,,NML,W,W,W,W,W,W,,,,,NML,,,MPTL,,W
W,,,,,,,,,NML,W,W,W,W,W,W,,,,,NML,,,MPTL,,W
W,,,,,,,,,NBL,W,W,W,W,W,W,,,,,NBL,,,BPTL:PT22|PT21,,W
W,P2,NTL,W,W,W,NTL,P1,P2,P3,P1,P1,P2,P3,P3,P2,P1,NTL,P2,P2,P1,P3,P2,P1,P3,W
W,,NML,W,W,W,NML,,,,,,,,TPTL,,,NML,,,,,,,,W
W,,NML,W,W,W,NML,,,,,,,,MPTL,,,NML,,,,,,,,W
W,,NML,W,W,W,NML,,,,,,,,MPTL,,,NML,,,,,,,,W
W,,NML,W,W,W,NBL,,,,,,,,BPTL:PT26|PT25,,,NBL,,,,,,,,W
W,W,NML,P3,P1,W,P2,P2,P3,P1,P2,P3,NTL,W,W,W,P2,P1,P3,P1,P3,P1,NTL,W,W,W
W,W,NML,,,W,,,,,,,NML,W,W,W,,,,,,,NML,W,W,W
W,W,NML,,,W,,,,,,,NML,W,W,W,,,,,,,NML,W,W,W
W,W,NML,,,W,,,,,,,NML,W,W,W,,,,,,,NML,W,W,W
W,W,NBL,,M:20,W,,,,,,,NBL,W,W,W,,,,,,,NBL,W,W,W
W,P3,P2,P1,P2,P3,P1,P3,P1,P2,NTL,W,W,W,W,W,NTL,P2,P1,P3,P2,P2,P2,P3,P2,W
W,,,,,,,,,,NML,W,W,W,W,W,NML,,,,,,,,,W
W,,,,,,,,,,NML,W,W,W,W,W,NML,,,,,,,,,W
W,,,,,,,,,,NML,W,W,W,W,W,NML,,,,,,,,,W
W,,,,,,,,,,NBL,W,W,W,W,W,NBL,,,,,,,,,W
W,P2,P1,P2,P3,P2,P3,NTL,W,W,W,W,W,W,W,W,W,W,W,W,NTL,P1,P3,P1,P3,W
W,,,,,,,NML,W,W,W,W,W,W,W,W,W,W,W,W,NML,,,,,W
W,,,,,,,NML,W,W,W,W,W,W,W,W,W,W,W,W,NML,,,,,W
W,,,,,,,NML,W,W,W,W,W,W,W,W,W,W,W,W,NML,,,,,W
W,,PL,,,,,NBL,W,W,W,W,W,W,W,W,W,W,W,W,NBL,,,,M:21,W
G,G,G,G,NTL+MP:4,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
