C,C,C,C,C,OTL+MP:7,C,C,C,C,C,C,C,C,C,C,C,C,C,C,W,W,W,W,W,W
W,TPTL,,,,OML,,,,,,,,,,,,,,,W,W,W,W,W,W
W,MPTL,,,,OML,,,,,,,,,,,,,,,W,W,W,W,W,W
W,MPTL,,,,OML,,,,,,,,,,,,,,,W,W,W,W,W,W
W,BPTL:PT11|PT12,,,,OBL,,,,,,,,,,,,,,,W,W,W,W,W,W
W,W,W,W,W,W,W,P3,P1,P3,P2,P2,P1,P3,P1,P2,P3,OTL,P2,P2,P1,P3,P2,P1,P2,W
W,W,W,W,W,W,W,,,,,,,,,,,OML,,,,,,,,W
W,W,W,W,W,W,W,,,,,,,,,,,OML,,,,,,,,W
W,W,W,W,W,W,W,,,,,,,,,,,OML,,,,,,,,W
W,W,W,W,W,W,W,,,,,,,,,,,OBL,,,,,,,,W
W,P2,P2,P1,P3,P2,P3,OTL,P3,P2,P1,P2,P3,W,W,W,W,W,W,W,W,OTL,,,,W
W,,,,,,,OML,,TPTL,,,,W,W,W,W,W,W,W,W,OML,,,,W
W,,,,,,,OML,,MPTL,,,,W,W,W,W,W,W,W,W,OML,,,,W
W,,,,,,,OML,,MPTL,,,,W,W,W,W,W,W,W,W,OML,,,,W
W,,,,,,,OBL,,BPTL:P8|PT7,,,,W,W,W,W,W,W,W,W,OML,,,,W
W,P3,P3,P2,P1,OTL,W,W,W,W,W,OTL,P1,P1,P3,P2,W,W,W,W,W,OML,,,,W
W,,,,,OML,W,W,W,W,W,OML,,,,,W,W,W,W,W,OML,,,TPTL,W
W,,,,,OML,W,W,W,W,W,OML,,,,,W,W,W,W,W,OML,,,MPTL,W
W,,,,,OML,W,W,W,W,W,OML,,,,,W,W,W,W,W,OML,,,MPTL,W
W,,,,,OBL,W,W,W,W,W,OML,,,M:6,,W,W,W,W,W,OML,,,BPTL:PT9|PT10,W
W,P2,OTL,P1,P3,P2,P1,P1,P3,P2,P3,P1,P2,P3,P2,P1,P1,P2,W,W,W,OML,P1,P3,P1,W
W,,OML,,,,,,,,,,,,,,,,W,W,W,OML,,,,W
W,,OML,,,,,,,,,,,,,,,,W,W,W,OML,,,,W
W,,OML,,,,,,,,,,,,,,,,W,W,W,OML,,,,W
W,,OBL,,,,,,,,,,,,,,,,W,W,W,OBL,,,M:5,W
W,W,W,W,W,W,W,W,W,W,W,W,W,P2,P1,P3,P2,OTL,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,OML,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,OML,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,OML,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,OBL,W,W,W,W,W,W,W,W
G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
