W,C,C,C,C,OTL+MP:3,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,W
W,,,,,OML,,,,,,,,,,,,,,,,,W
W,,,,,OML,,,,,,,,,,,,,,,,,W
W,,,,,OML,,,,,,,,,,,,,,,,M:10,W
W,,,,,OML,,OTL,W,W,W,OTL,P1,P3,P3,P2,P1,P1,P3,P2,P3,P2,W
W,,,,,OML,,OML,W,W,W,OML,,,,,,,,,,,W
W,,,,,OML,,OML,W,W,W,OML,,,,,,,,,,,W
W,,,,,OML,,OML,W,W,W,OML,,,,,,,,,,,W
W,M:11,,,,OBL,,OML,W,W,W,OML,,,,,,,,,,,W
W,P2,OTL,P2,P3,P1,,OML,W,W,W,OML,,,,,,,,,,,W
W,,OML,,,,,OML,W,W,W,OML,,,,,,,,,,,W
W,,OML,,,,,OML,W,W,W,OML,,,,,,,,,,,W
W,,OBL,,,,,OBL,W,W,W,OBL,,,,,,,,,,M:8,W
W,P1,P2,P3,P3,OTL,W,W,P1,P2,P3,P1,P2,P3,P3,P1,P3,P2,P2,OTL,P3,P1,W
W,,,,,OML,W,W,,,,,,,,,,,,OML,,,W
W,,,,,OML,W,W,,,,,,,,,,,,OML,,,W
W,,,,,OML,W,W,M:7,,,,,,,,,,,OBL,,,W
W,,,,,OML,W,W,W,W,W,W,P1,P1,P2,OTL,P3,P1,P3,P2,P2,P3,W
W,,,,,OML,W,W,W,W,W,W,,,,OML,,,,,,,W
W,,,,,OML,W,W,W,W,W,W,,,,OML,,,,,,,W
W,,,,,OML,W,P2,P1,P3,P3,P2,,,,OML,,,,,,,W
W,,,,,OML,W,,,,,,,,,OML,,,,,,,W
W,,,,,OML,W,,,,,,,,,OML,,,,,,,W
W,M:9,,,,OBL,W,M:6,,,,,,,,OBL,,,,,,,W
W,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,OTL+MP:1,W
