W,C,C,C,C,C,C,C,C,C,C,C,C,C,OTL+MP:5,W
W,,,,,,,,,,,,,,OML,W
W,,,,,,,,,,,,,,OML,W
W,M:16,,,,,,,,,,,,,OBL,W
W,W,W,W,W,W,OTL,W,W,W,OTL,P1,P3,P1,P2,W
W,W,W,W,W,W,OML,W,W,W,OML,,,,,W
W,W,W,W,W,W,OML,W,W,W,OML,,,,,W
W,W,W,W,W,W,OML,W,W,W,OBL,,,,M:15,W
W,P3,P3,P2,P1,P2,OML,P1,P2,P1,P3,P2,P2,P3,P1,W
W,,,,,,OML,,,,,,,,,W
W,,,,,,OML,,,,,,,,,W
W,,,,,,OBL,,,,,,,,,W
W,OTL,P2,P1,P3,P3,P2,W,W,P3,P1,P2,OTL,P2,P3,W
W,OML,,,,,,W,W,,,,OML,,,W
W,OML,,,,,,W,W,,,,OML,,,W
W,OBL,,,,,,W,W,,,,OBL,,M:13,W
W,P1,P3,P3,P1,P2,OTL,W,W,OTL,P3,P1,P3,P3,P2,W
W,,,,,,OML,W,W,OML,,,,,,W
W,,,,,,OML,W,W,OML,,,,,,W
W,,,,,,OML,W,W,OBL,,,,,,W
W,,,,,,OML,W,W,P2,P3,P2,P1,P2,OTL,W
W,,,,,,OML,W,W,,,,,,OML,W
W,,,,,,OML,W,W,,,,,,OML,W
W,M:14,,,,,OBL,W,W,,,,,,OBL,W
W,P2,P1,P2,P1,P1,P2,W,W,P1,P2,OTL,P1,P1,P2,W
W,,,,,,,,,,,OML,,,,W
W,,,,,,,,,,,OML,,,,W
W,,,,,,,,,,,OBL,,,,W
W,OTL,W,W,W,W,W,P2,P3,P3,P1,P2,P2,P3,P1,W
W,OML,W,W,W,W,W,,,,,,,,,W
W,OML,W,W,W,W,W,,,,,,,,,W
W,OML,W,W,W,W,W,M:12,,,,,,,,W
W,OML,P3,P2,P1,P1,P3,P2,P1,P2,P2,P1,P3,P1,OTL,W
W,OML,,,,,,,,,,,,,OML,W
W,OML,,,,,,,,,,,,,OML,W
W,OBL,,,,,,,,,,,,,OBL,W
W,G,G,G,G,G,G,G,G,G,OTL+MP:3,G,G,G,G,W
