W,C,C,C,C,C,C,C,C,NTL+MP:6,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,W
W,,,,,,,,,NML,,,,,,,,,,,,,,,,,,W
W,,,,,,,,,NML,,,,,,,,,,,,,,,,,,W
W,,,,,,,,,NBL,,,,,,,,,,,,,,,,,,W
W,,,,,NTL,W,P2,P2,P3,P1,P3,NTL,P2,W,W,W,W,W,NTL,P3,P2,P1,P1,P3,P2,P1,W
W,,,,,NML,W,,,,,,NML,,W,W,W,W,W,NML,,,,,,,,W
W,,,,,NML,W,,,,,,NML,,W,W,W,W,W,NML,,,,,,,,W
W,,,,,NBL,W,M:20,,,,,NBL,,W,W,W,W,W,NBL,,,,,,,,W
W,,,NTL,W,W,W,P1,P3,P1,P2,P3,P2,P1,P2,P1,P3,P1,P2,P1,P3,NTL,W,W,NTL,,,W
W,,,NML,W,W,W,,,,,,,,,,,,,,,NML,W,W,NML,,,W
W,,,NML,W,W,W,,,,,,,,,,,,,,,NML,W,W,NML,,,W
W,,,NML,W,W,W,,,,,,,,,,,,,,,NBL,W,W,NBL,,M:19,W
W,,,NML,W,W,W,P3,P2,P2,P1,P2,P3,P3,P1,NTL,P1,P2,P3,P3,P1,P2,W,W,W,W,W,W
W,,,NML,W,W,W,,,,,,,,,NML,,,,,,,W,W,W,W,W,W
W,,,NML,W,W,W,,,,,,,,,NML,,,,,,,W,W,W,W,W,W
W,M:21,,NBL,W,W,W,M:18,,,,,,,,NBL,,,,,,,W,W,W,W,W,W
W,P3,P2,P1,P3,P2,P2,P3,P1,P1,P3,P2,P2,P1,P3,P2,P3,P3,P2,P1,P2,NTL,P3,P2,P2,P3,P1,W
W,,,,,,,,,,,,,,,,,,,,,NML,,,,,,W
W,,,,,,,,,,,,,,,,,,,,,NML,,,,,,W
W,M:17,,,,,,,,,,,,,,,,,,,,NBL,,,,,,W
W,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,NTL+MP:4,G,W
